final_value,return,sharpe,max_drawdown,total_trades,win_rate,code,name
110928.679,10.928679000000004,0.2698451269614297,17.516878264678354,3,66.66666666666666,000001,000001
53068.03999999999,-46.931960000000004,-1.6724085192190925,57.186944000000004,2,0.0,000002,000002
152025.307,52.025307,0.8443447852954047,25.471774999999994,3,66.66666666666666,000063,000063
134314.17599999998,34.31417599999998,1.154220767205858,14.67730906155211,3,66.66666666666666,000100,000100
136734.438,36.734438,0.7455346063850862,7.424019568615728,2,100.0,000157,000157
115625.72000000002,15.625720000000015,0.5713485349387177,5.101057514145232,1,100.0,000166,000166
100239.34400000001,0.23934400000001185,0.008201851397450348,32.37432315108345,4,25.0,000301,000301
113911.918,13.911918000000007,0.6237962554517821,1.5199690604407508,1,100.0,000333,000333
129676.772,29.676771999999996,0.6074437104044798,3.5526945007105843,2,50.0,000338,000338
116978.68400000001,16.97868400000001,1.1274796343003968,17.141384216865085,2,100.0,000408,000408
117214.512,17.214512000000003,0.5219032115509641,19.199345814354572,2,100.0,000425,000425
109396.135,9.396134999999994,0.30008610923154433,21.168803025162305,1,100.0,000538,000538
105506.94900000002,5.506949000000022,0.1263703747945969,46.349313057186755,4,50.0,000568,000568
148380.99,48.38098999999999,1.8318050682057343,38.23507038003037,5,100.0,000596,000596
148438.855,48.43885500000001,0.9540612588431698,16.245129263001203,2,100.0,000617,000617
176247.62799999997,76.24762799999996,1.3904575825564505,23.675089009322054,4,100.0,000625,000625
131753.311,31.75331099999999,1.2162073296580143,9.10718431737441,2,100.0,000630,000630
145540.602,45.540602000000014,0.8584617102995037,11.739212943144256,4,75.0,000651,000651
98304.027,-1.6959729999999982,0.0308809626801697,47.07479929948137,3,33.33333333333333,000661,000661
125735.279,25.735278999999995,0.42444578041592695,29.257186000000015,3,66.66666666666666,000708,000708
126053.40000000001,26.05340000000001,1.3828230031760482,12.487204399491855,2,50.0,000725,000725
196745.47299999997,96.74547299999998,1.439624775173262,20.82650151091546,4,75.0,000768,000768
96431.27499999998,-3.5687250000000206,-0.6024972963140858,20.043608259137034,1,0.0,000776,000776
112868.28299999998,12.86828299999998,0.3164663196079209,22.309669485139672,4,50.0,000786,000786
104015.71600000001,4.015716000000015,0.14824580388669606,40.32789101157951,3,66.66666666666666,000792,000792
104062.013,4.062013000000006,0.0831236618062333,18.562763260380745,2,50.0,000800,000800
138767.87800000003,38.767878000000024,0.6629995107703471,30.161458037153032,3,100.0,000807,000807
92865.86200000001,-7.134137999999991,-0.19055216026507757,33.15932424130635,3,66.66666666666666,000858,000858
146447.13899999997,46.447138999999964,0.6962277274978408,25.48152784088581,4,75.0,000876,000876
102378.846,2.378846000000005,-0.1846366707055226,18.299447892945643,1,100.0,000895,000895
113332.03199999999,13.332031999999991,0.5093286075000902,32.77267339065074,2,100.0,000938,000938
96720.92499999999,-3.2790750000000117,-0.07799564002547307,42.071486991590405,2,50.0,000963,000963
154605.03199999998,54.60503199999997,1.2538874342809474,3.9643769576539505,2,100.0,000975,000975
212258.48400000003,112.25848400000002,1.3131906513999427,26.541906906757028,3,100.0,000977,000977
118045.634,18.045634000000003,0.6845174767367663,20.4937933979692,3,66.66666666666666,000983,000983
127882.45599999999,27.88245599999999,0.5636706925859557,24.774535220555872,3,66.66666666666666,000999,000999
108223.821,8.223820999999996,0.27618604029434046,31.64528360027773,2,50.0,001289,001289
99900.44,-0.09955999999999768,-21.088388911209634,13.10842043533754,1,0.0,001391,001391
85996.384,-14.003615999999994,-0.8585905367793633,17.458224906530763,1,0.0,001965,001965
116598.78700000003,16.598787000000026,0.4463579086258403,39.21897799214316,3,66.66666666666666,001979,001979
144121.03199999998,44.12103199999998,1.5003298315346092,18.26130441608247,4,75.0,002001,002001
112709.485,12.709485,0.5934540578634734,13.148419768436668,1,100.0,002027,002027
127677.728,27.677728000000002,0.6304631945612421,7.993802537878859,1,100.0,002028,002028
82411.18800000001,-17.58881199999999,-0.13230063023866095,55.01041764838294,2,50.0,002049,002049
116431.93000000001,16.43193000000001,0.4043479979832404,39.01323081480146,2,50.0,002050,002050
117263.09999999999,17.26309999999999,0.28448260341252385,44.02142565293989,3,66.66666666666666,002074,002074
30041.401999999987,-69.95859800000002,-1.4170026550205044,77.19904313217853,2,0.0,002129,002129
109652.641,9.652641000000003,0.20029232305161396,25.345334382150433,3,66.66666666666666,002142,002142
95783.125,-4.216875,-1.289004064455164,34.77910751391715,1,0.0,002179,002179
102744.25599999998,2.744255999999979,0.1451198440811214,48.10546842623985,4,75.0,002180,002180
